"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"CROSS PLAINS POLICE DEPARTMENT","TX","CROSS PLAINS POLICE DEPARTMENTTX","TX0300200",0
"STAR HARBOR POLICE DEPARTMENT","TX","STAR HARBOR POLICE DEPARTMENTTX","TX1072400",0
"GOLDSMITH POLICE DEPARTMENT","TX","GOLDSMITH POLICE DEPARTMENTTX","TX0680100",0
"ENCHANTED OAKS POLICE DEPARTMENT","TX","ENCHANTED OAKS POLICE DEPARTMENTTX","TX1072000",0
"ROUND TOP POLICE DEPARTMENT","TX","ROUND TOP POLICE DEPARTMENTTX","TX0750200",0
"CITY OF PETROLIA POLICE DEPARTMENT","TX","CITY OF PETROLIA POLICE DEPARTMENTTX","TX0390200",0
"WINDOM POLICE DEPARTMENT","TX","WINDOM POLICE DEPARTMENTTX","TX0740900",0
"BLOSSOM POLICE DEPARTMENT","TX","BLOSSOM POLICE DEPARTMENTTX","TX1390100",0
"LINDSAY POLICE DEPARTMENT","TX","LINDSAY POLICE DEPARTMENTTX","TX0491000",0
"SKELLYTOWN POLICE DEPARTMENT","TX","SKELLYTOWN POLICE DEPARTMENTTX","TX0330200",0
"THORNTON POLICE DEPARTMENT","TX","THORNTON POLICE DEPARTMENTTX","TX1470400",0
"THORTON POLICE DEPARTMENT","TX","THORTON POLICE DEPARTMENTTX","TX1471000",0
"ECTOR POLICE DEPARTMENT","TX","ECTOR POLICE DEPARTMENTTX","TX0740800",0
"TIKI ISLAND POLICE DEPARTMENT","TX","TIKI ISLAND POLICE DEPARTMENTTX","TX0842900",0
"MAUD  POLICE DEPARTMENT","TX","MAUD  POLICE DEPARTMENTTX","TX0190200",0
"WOODSON POLICE DEPARTMENT","TX","WOODSON POLICE DEPARTMENTTX","TX2240100",0
"MORAN POLICE DEPARTMENT","TX","MORAN POLICE DEPARTMENTTX","TX2090200",0
"DAISETTA POLICE DEPARTMENT","TX","DAISETTA POLICE DEPARTMENTTX","TX1460200",0
"BLOOMING GROVE POLICE DEPARTMENT","TX","BLOOMING GROVE POLICE DEPARTMENTTX","TX1750700",0
"HOWARDWICK POLICE DEPARTMENT CLARENDON","TX","HOWARDWICK POLICE DEPARTMENT CLARENDONTX","TX0650400",0
"HEDLEY POLICE DEPARTMENT","TX","HEDLEY POLICE DEPARTMENTTX","TX0650200",0
"COPPER CANYON POLICE DEPARTMENT LEWISVILLE","TX","COPPER CANYON POLICE DEPARTMENT LEWISVILLETX","TX0612200",0
"BLACKWELL POLICE DEPARTMENT","TX","BLACKWELL POLICE DEPARTMENTTX","TX1770100",0
"LAKE TANGLEWOOD POLICE DEPARTMENT","TX","LAKE TANGLEWOOD POLICE DEPARTMENTTX","TX1910500",0
"NAZARETH POLICE DEPARTMENT","TX","NAZARETH POLICE DEPARTMENTTX","TX0350400",0
"PAYNE SPRINGS POLICE DEPARTMENT","TX","PAYNE SPRINGS POLICE DEPARTMENTTX","TX1072500",0
"HARDIN POLICE DEPARTMENT HARDIN","TX","HARDIN POLICE DEPARTMENT HARDINTX","TX1461400",0
"JUSTIN POLICE DEPARTMENT","TX","JUSTIN POLICE DEPARTMENTTX","TX0610300",0
"NEW LONDON POLICE DEPARTMENT","TX","NEW LONDON POLICE DEPARTMENTTX","TX2010200",0
"HUNTERS CREEK VILLAGE POLICE DEPARTMENT HOUSTON","TX","HUNTERS CREEK VILLAGE POLICE DEPARTMENT HOUSTONTX","TX1011000",0
"MCLENDON-CHISHOLM POLICE DEPARTMENT ROCKWALL","TX","MCLENDON-CHISHOLM POLICE DEPARTMENT ROCKWALLTX","TX1990400",0
"CLAUDE POLICE DEPARTMENT","TX","CLAUDE POLICE DEPARTMENTTX","TX0060100",0
"RENO (PARKER CO.) POLICE DEPARTMENT","TX","RENO (PARKER CO.) POLICE DEPARTMENTTX","TX1840700",0
"CITY OF OLD RIVER WINFREE POLICE DEPARTMENT","TX","CITY OF OLD RIVER WINFREE POLICE DEPARTMENTTX","TX0360900",0
"OLD RIVER-WINFREE POLICE DEPARTMENT","TX","OLD RIVER-WINFREE POLICE DEPARTMENTTX","-1",0
"DISH POLICE DEPARTMENT","TX","DISH POLICE DEPARTMENTTX","TX0614100",0
"RIO VISTA POLICE DEPARTMENT","TX","RIO VISTA POLICE DEPARTMENTTX","TX1260700",0
"MC LEAN POLICE DEPARTMENT","TX","MC LEAN POLICE DEPARTMENTTX","TX0900100",0
"SAVOY POLICE DEPARTMENT","TX","SAVOY POLICE DEPARTMENTTX","TX0740400",0
"MABANK POLICE DEPARTMENT","TX","MABANK POLICE DEPARTMENTTX","TX1290400",0
"VILLAGE OF PALISADES POLICE DEPARTMENT","TX","VILLAGE OF PALISADES POLICE DEPARTMENTTX","TX1910400",0
"CROSS ROADS POLICE DEPARTMENT AUBREY","TX","CROSS ROADS POLICE DEPARTMENT AUBREYTX","TX0612400",0
"CAMPBELL POLICE DEPARTMENT","TX","CAMPBELL POLICE DEPARTMENTTX","TX1161500",0
"MUENSTER POLICE DEPARTMENT","TX","MUENSTER POLICE DEPARTMENTTX","TX0490200",0
"CLEAR LAKE SHORES POLICE DEPARTMENT","TX","CLEAR LAKE SHORES POLICE DEPARTMENTTX","TX0840100",0
"UNIVERSITY PARK MARSHALS OFFICE","TX","UNIVERSITY PARK MARSHALS OFFICETX","TX0573200",0
"ALBA POLICE DEPARTMENT","TX","ALBA POLICE DEPARTMENTTX","TX2500100",0
"LOG CABIN POLICE DEPARTMENT","TX","LOG CABIN POLICE DEPARTMENTTX","TX1072200",0
"CUT AND SHOOT POLICE DEPARTMENT","TX","CUT AND SHOOT POLICE DEPARTMENTTX","TX1703100",0
"PINE FOREST POLICE DEPARTMENT VIDOR","TX","PINE FOREST POLICE DEPARTMENT VIDORTX","TX1810700",0
"GREY FOREST POLICE DEPARTMENT","TX","GREY FOREST POLICE DEPARTMENTTX","TX0152400",0
"LUEDERS POLICE DEPARTMENT","TX","LUEDERS POLICE DEPARTMENTTX","TX1270300",0
"PANORAMA VILLAGE POLICE DEPARTMENT","TX","PANORAMA VILLAGE POLICE DEPARTMENTTX","TX1701100",0
"GORDON POLICE DEPARTMENT","TX","GORDON POLICE DEPARTMENTTX","TX1820100",0
"CHICO POLICE DEPARTMENT","TX","CHICO POLICE DEPARTMENTTX","TX2491000",0
"CLARKSVILLE CITY POLICE DEPARTMENT GLADEWATER","TX","CLARKSVILLE CITY POLICE DEPARTMENT GLADEWATERTX","TX0920100",0
"RHOME POLICE DEPARTMENT","TX","RHOME POLICE DEPARTMENTTX","TX2490300",0
"WESTMINSTER POLICE DEPARTMENT","TX","WESTMINSTER POLICE DEPARTMENTTX","TX0432300",0
"DARROUZETT POLICE DEPARTMENT","TX","DARROUZETT POLICE DEPARTMENTTX","TX1480300",0
"DAYTON LAKE POLICE DEPARTMENT","TX","DAYTON LAKE POLICE DEPARTMENTTX","TX1461800",0
"EMORY POLICE DEPARTMENT","TX","EMORY POLICE DEPARTMENTTX","TX1900600",0
"EUSTACE POLICE DEPARTMENT","TX","EUSTACE POLICE DEPARTMENTTX","TX1071100",0
"MOUNT ENTERPRISE POLICE DEPARTMENT","TX","MOUNT ENTERPRISE POLICE DEPARTMENTTX","TX2011000",0
"EAST TAWAKONI POLICE DEPARTMENT","TX","EAST TAWAKONI POLICE DEPARTMENTTX","TX1900500",0
"CHANDLER POLICE DEPARTMENT","TX","CHANDLER POLICE DEPARTMENTTX","TX1070600",0
"VEGA CITY MARSHAL'S OFFICE","TX","VEGA CITY MARSHAL'S OFFICETX","TX1800100",0
"FRITCH POLICE DEPARTMENT","TX","FRITCH POLICE DEPARTMENTTX","TX1170300",0
"OAK POINT DEPARTMENT OF PUBLIC SAFETY","TX","OAK POINT DEPARTMENT OF PUBLIC SAFETYTX","TX0612700",0
"JAYTON POLICE DEPARTMENT","TX","JAYTON POLICE DEPARTMENTTX","TX1320100",0
"BELLS POLICE DEPARTMENT","TX","BELLS POLICE DEPARTMENTTX","TX0910900",0
"FOLLETT POLICE DEPARTMENT","TX","FOLLETT POLICE DEPARTMENTTX","TX1480100",0
"BURTON POLICE DEPARTMENT","TX","BURTON POLICE DEPARTMENTTX","TX2390700",0
"GLEN ROSE POLICE DEPARTMENT","TX","GLEN ROSE POLICE DEPARTMENTTX","TX2130100",0
"GLEN ROSE POLICE DEPARTMENT","TX","GLEN ROSE POLICE DEPARTMENTTX","TX2130400",0
"FAIRVIEW POLICE DEPARTMENT","TX","FAIRVIEW POLICE DEPARTMENTTX","TX2491100",0
"LIBERTY HILL POLICE DEPARTMENT","TX","LIBERTY HILL POLICE DEPARTMENTTX","TX2462400",0
"LIVERPOOL POLICE DEPARTMENT","TX","LIVERPOOL POLICE DEPARTMENTTX","TX0203700",0
"POINT POLICE DEPARTMENT","TX","POINT POLICE DEPARTMENTTX","TX1900800",0
"MURCHISON POLICE DEPARTMENT MURCHISON","TX","MURCHISON POLICE DEPARTMENT MURCHISONTX","TX1072100",0
"HIGGINS POLICE DEPARTMENT","TX","HIGGINS POLICE DEPARTMENTTX","TX1480400",0
"COAHOMA POLICE DEPARTMENT","TX","COAHOMA POLICE DEPARTMENTTX","TX1140200",0
"WOODLOCH MARSHAL OFFICE","TX","WOODLOCH MARSHAL OFFICETX","TX1702200",0
"CRAWFORD POLICE DEPARTMENT.","TX","CRAWFORD POLICE DEPARTMENT.TX","TX1550300",0
"LA WARD POLICE DEPARTMENT","TX","LA WARD POLICE DEPARTMENTTX","TX1200300",0
"HILSHIRE VILLAGE POLICE DEPARTMENT HOUSTON","TX","HILSHIRE VILLAGE POLICE DEPARTMENT HOUSTONTX","TX1010800",0
"RICE POLICE DEPARTMENT","TX","RICE POLICE DEPARTMENTTX","TX1750300",0
"AVINGER POLICE DEPARTMENT","TX","AVINGER POLICE DEPARTMENTTX","-1",0
"BROWNSBORO POLICE DEPARTMENT","TX","BROWNSBORO POLICE DEPARTMENTTX","TX1071700",0
"BRIAROAKS POLICE DEPARTMENT","TX","BRIAROAKS POLICE DEPARTMENTTX","TX1261600",0
"TALTY POLICE DEPARTMENT","TX","TALTY POLICE DEPARTMENTTX","TX1291600",0
"KEMPNER CITY MARSHAL DEPARTMENT","TX","KEMPNER CITY MARSHAL DEPARTMENTTX","TX1410700",0
"PINEY POINT POLICE DEPARTMENT HOUSTON","TX","PINEY POINT POLICE DEPARTMENT HOUSTONTX","TX1011600",0
"CITY OF CHINA POLICE DEPARTMENT","TX","CITY OF CHINA POLICE DEPARTMENTTX","TX1232000",0
"GUNTER POLICE DEPARTMENT","TX","GUNTER POLICE DEPARTMENTTX","TX0912000",0
"MIAMI POLICE DEPARTMENT","TX","MIAMI POLICE DEPARTMENTTX","TX1970100",0
"BANDERA POLICE DEPARTMENT","TX","BANDERA POLICE DEPARTMENTTX","TX0100100",0
"JOSEPHINE POLICE DEPARTMENT","TX","JOSEPHINE POLICE DEPARTMENTTX","TX1161900",0
"MAYPEARL POLICE DEPARTMENT","TX","MAYPEARL POLICE DEPARTMENTTX","TX0702200",0
"BUNKER HILL POLICE DEPARTMENT HOUSTON","TX","BUNKER HILL POLICE DEPARTMENT HOUSTONTX","TX1010300",0
"TRINIDAD POLICE DEPARTMENT","TX","TRINIDAD POLICE DEPARTMENTTX","TX1071800",0
"KRUM POLICE DEPARTMENT","TX","KRUM POLICE DEPARTMENTTX","TX0610400",0
"GRANDVIEW POLICE DEPARTMENT","TX","GRANDVIEW POLICE DEPARTMENTTX","TX1260400",0
"CAMP WOOD POLICE DEPARTMENT","TX","CAMP WOOD POLICE DEPARTMENTTX","TX1930200",0
"BLUE RIDGE POLICE DEPARTMENT","TX","BLUE RIDGE POLICE DEPARTMENTTX","TX0432100",0
"FRANKLIN POLICE DEPARTMENT","TX","FRANKLIN POLICE DEPARTMENTTX","TX1981000",0
"LADONIA POLICE DEPARTMENT","TX","LADONIA POLICE DEPARTMENTTX","TX0740300",0
"COMBINE POLICE DEPARTMENT","TX","COMBINE POLICE DEPARTMENTTX","TX1290700",0
"ASPERMONT POLICE DEPARTMENT","TX","ASPERMONT POLICE DEPARTMENTTX","TX2170100",0
"FROST POLICE DEPARTMENT","TX","FROST POLICE DEPARTMENTTX","TX1750800",0
"DRIPPING SPRINGS POLICE DEPARTMENT","TX","DRIPPING SPRINGS POLICE DEPARTMENTTX","TX1050800",0
"LITTLE RIVER-ACADEMY POLICE DEPARTMENT","TX","LITTLE RIVER-ACADEMY POLICE DEPARTMENTTX","TX0141600",0
"DAWSON POLICE DEPARTMENT","TX","DAWSON POLICE DEPARTMENTTX","TX1750200",0
"UNCERTAIN POLICE DEPARTMENT KARNACK","TX","UNCERTAIN POLICE DEPARTMENT KARNACKTX","TX1020400",0
"SHEPHERD POLICE DEPARTMENT","TX","SHEPHERD POLICE DEPARTMENTTX","TX2040600",0
"NORTH CLEVELAND POLICE DEPARTMENT CLEVELAND","TX","NORTH CLEVELAND POLICE DEPARTMENT CLEVELANDTX","TX1460500",0
"SUNSET POLICE DEPARTMENT","TX","SUNSET POLICE DEPARTMENTTX","TX1690600",0
"HONEY GROVE POLICE DEPARTMENT","TX","HONEY GROVE POLICE DEPARTMENTTX","TX0740200",0
"MATADOR POLICE DEPARTMENT","TX","MATADOR POLICE DEPARTMENTTX","TX1730200",0
"REKLAW POLICE DEPARTMENT","TX","REKLAW POLICE DEPARTMENTTX","TX0371300",0
"OAKWOOD POLICE DEPARTMENT","TX","OAKWOOD POLICE DEPARTMENTTX","TX1451100",0
"MOUNT CALM POLICE DEPARTMENT","TX","MOUNT CALM POLICE DEPARTMENTTX","TX1090500",0
"COMO POLICE DEPARTMENT","TX","COMO POLICE DEPARTMENTTX","TX1120600",0
"SNOOK POLICE DEPARTMENT","TX","SNOOK POLICE DEPARTMENTTX","TX0260700",0
"RANKIN POLICE DEPARTMENT","TX","RANKIN POLICE DEPARTMENTTX","TX2310200",0
"ROGERS POLICE DEPARTMENT","TX","ROGERS POLICE DEPARTMENTTX","TX0140600",0
"WICKETT POLICE DEPARTMENT","TX","WICKETT POLICE DEPARTMENTTX","TX2380600",0
"TEXLINE POLICE DEPARTMENT","TX","TEXLINE POLICE DEPARTMENTTX","TX0560200",0
"MOUNT VERNON POLICE DEPARTMENT","TX","MOUNT VERNON POLICE DEPARTMENTTX","TX0800200",0
"GROVETON POLICE DEPARTMENT","TX","GROVETON POLICE DEPARTMENTTX","TX2280600",0
"FORSAN POLICE DEPARTMENT","TX","FORSAN POLICE DEPARTMENTTX","TX1140300",0
"WINONA POLICE DEPARTMENT","TX","WINONA POLICE DEPARTMENTTX","TX2120600",0
"MORGAN'S POINT POLICE DEPARTMENT","TX","MORGAN'S POINT POLICE DEPARTMENTTX","TX1011400",0
"STRAWN POLICE DEPARTMENT","TX","STRAWN POLICE DEPARTMENTTX","TX1829300",0
"PAINT ROCK POLICE DEPARTMENT","TX","PAINT ROCK POLICE DEPARTMENTTX","TX0480200",0
"WASKOM POLICE DEPARTMENT","TX","WASKOM POLICE DEPARTMENTTX","TX1020500",0
"BRONTE POLICE DEPARTMENT","TX","BRONTE POLICE DEPARTMENTTX","TX0410100",0
"MILES POLICE DEPARTMENT","TX","MILES POLICE DEPARTMENTTX","TX2000200",0
"MASON POLICE DEPARTMENT","TX","MASON POLICE DEPARTMENTTX","TX1600100",0
"HILLCREST POLICE DEPARTMENT WICHITA FALLS","TX","HILLCREST POLICE DEPARTMENT WICHITA FALLSTX","TX2430300",0
"JONES CREEK POLICE DEPARTMENT","TX","JONES CREEK POLICE DEPARTMENTTX","-1",0
"MALONE POLICE DEPARTMENT","TX","MALONE POLICE DEPARTMENTTX","TX1090400",0
"BUFFALO GAP POLICE DEPARTMENT BUFFALO GAP","TX","BUFFALO GAP POLICE DEPARTMENT BUFFALO GAPTX","TX2210900",0
"CITY MARSHALS OFFICE","TX","CITY MARSHALS OFFICETX","TX1703200",0
"NEWARK POLICE DEPARTMENT","TX","NEWARK POLICE DEPARTMENTTX","TX2491200",0
"TALCO POLICE DEPARTMENT","TX","TALCO POLICE DEPARTMENTTX","TX2250200",0
"NORDHEIM POLICE DEPARTMENT","TX","NORDHEIM POLICE DEPARTMENTTX","TX0620200",0
"KOSSE POLICE DEPARTMENT","TX","KOSSE POLICE DEPARTMENTTX","TX1470600",0
"LORAINE POLICE DEPARTMENT","TX","LORAINE POLICE DEPARTMENTTX","TX1680200",0
"BUFFALO POLICE DEPARTMENT","TX","BUFFALO POLICE DEPARTMENTTX","TX1450100",0
"GARRISON POLICE DEPARTMENT","TX","GARRISON POLICE DEPARTMENTTX","TX1740100",0
"MOODY POLICE DEPARTMENT","TX","MOODY POLICE DEPARTMENTTX","TX1550900",0
"DALLAS DPS NORTH TOLLWAY","TX","DALLAS DPS NORTH TOLLWAYTX","TX0574900",0
"MENARD POLICE DEPARTMENT","TX","MENARD POLICE DEPARTMENTTX","TX1640100",0
"HIGHLANDS POLICE DEPARTMENT","TX","HIGHLANDS POLICE DEPARTMENTTX","TX1010700",0
"SUNNYVALE POLICE DEPARTMENT MESQUITE","TX","SUNNYVALE POLICE DEPARTMENT MESQUITETX","TX0572300",0
"SILVERTON POLICE DEPARTMENT","TX","SILVERTON POLICE DEPARTMENTTX","TX0230100",0
"ROCHESTER POLICE DEPARTMENT","TX","ROCHESTER POLICE DEPARTMENTTX","TX1040600",0
"BUCKHOLTS POLICE DEPARTMENT","TX","BUCKHOLTS POLICE DEPARTMENTTX","TX1661100",0
"ARANSAS PASS POLICE DEPARTMENT","TX","ARANSAS PASS POLICE DEPARTMENTTX","TX2051500",0
"NEW HOME POLICE DEPARTMENT","TX","NEW HOME POLICE DEPARTMENTTX","TX1530100",0
"AUSTIN POLICE DEPARTMENT CRIME LABORATORY","TX","AUSTIN POLICE DEPARTMENT CRIME LABORATORYTX","TX2273400",0
"AUSTIN PUBLIC SAFETY","TX","AUSTIN PUBLIC SAFETYTX","TX2272600",0
"DPS CRIME ANALYSIS SERVICE AUSTIN","TX","DPS CRIME ANALYSIS SERVICE AUSTINTX","TXDPS3800",0
"DPS COMMUNICATIONS HEADQUARTERS AUSTIN","TX","DPS COMMUNICATIONS HEADQUARTERS AUSTINTX","TXDPS0000",0
"CHINA GROVE POLICE DEPARTMENT SAN ANTONIO","TX","CHINA GROVE POLICE DEPARTMENT SAN ANTONIOTX","TX0150400",0
"EDGECLIFF VILLAGE POLICE DEPARTMENT","TX","EDGECLIFF VILLAGE POLICE DEPARTMENTTX","TX2200800",0
"ANAHUAC POLICE DEPARTMENT","TX","ANAHUAC POLICE DEPARTMENTTX","TX0360100",0
"BOOKER POLICE DEPARTMENT","TX","BOOKER POLICE DEPARTMENTTX","TX1480200",0
"IRAAN POLICE DEPARTMENT","TX","IRAAN POLICE DEPARTMENTTX","TX1860200",0
"AMHERST POLICE DEPARTMENT","TX","AMHERST POLICE DEPARTMENTTX","TX1400100",0
"SCOTTSVILLE POLICE DEPARTMENT","TX","SCOTTSVILLE POLICE DEPARTMENTTX","TX1020300",0
"EASTVALE POLICE DEPARTMENT LEWISVILLE","TX","EASTVALE POLICE DEPARTMENT LEWISVILLETX","TX0612600",0
"DPS COMMUNICATIONS LUFKIN","TX","DPS COMMUNICATIONS LUFKINTX","TXDPS1700",0
"WOODSBORO POLICE DEPARTMENT","TX","WOODSBORO POLICE DEPARTMENTTX","TX1960200",0
"ELMENDORF POLICE DEPARTMENT","TX","ELMENDORF POLICE DEPARTMENTTX","TX0150600",0
"ELDORADO POLICE DEPARTMENT","TX","ELDORADO POLICE DEPARTMENTTX","TX2070100",0
"BARDWELL POLICE DEPARTMENT","TX","BARDWELL POLICE DEPARTMENTTX","TX0701600",0
"THOMPSONS POLICE DEPARTMENT","TX","THOMPSONS POLICE DEPARTMENTTX","TX0792200",0
"TOWN RANCHO VIEJO POLICE DEPARTMENT","TX","TOWN RANCHO VIEJO POLICE DEPARTMENTTX","TX1240600",0
"HOLIDAY LAKES POLICE DEPARTMENT","TX","HOLIDAY LAKES POLICE DEPARTMENTTX","TX0203100",0
"BEASLEY POLICE DEPARTMENT","TX","BEASLEY POLICE DEPARTMENTTX","TX0791900",0
"SMILEY POLICE DEPARTMENT","TX","SMILEY POLICE DEPARTMENTTX","TX0890300",0
"PETERSBURG POLICE DEPARTMENT","TX","PETERSBURG POLICE DEPARTMENTTX","TX0950300",0
"WILSON POLICE DEPARTMENT","TX","WILSON POLICE DEPARTMENTTX","TX1530300",0
"COOLIDGE POLICE DEPARTMENT","TX","COOLIDGE POLICE DEPARTMENTTX","TX1470100",0
"DOMINO POLICE DEPARTMENT","TX","DOMINO POLICE DEPARTMENTTX","TX0341500",0
"GOREE POLICE DEPARTMENT","TX","GOREE POLICE DEPARTMENTTX","TX1380100",0
"WINFIELD POLICE DEPARTMENT","TX","WINFIELD POLICE DEPARTMENTTX","TX2250700",0
"OZONA POLICE DEPARTMENT","TX","OZONA POLICE DEPARTMENTTX","TX0530100",0
"PLAINS POLICE DEPARTMENT","TX","PLAINS POLICE DEPARTMENTTX","TX2510200",0
"DPS COMMUNICATIONS SAN ANTONIO","TX","DPS COMMUNICATIONS SAN ANTONIOTX","TXDPS2200",0
"GARRETT POLICE DEPARTMENT","TX","GARRETT POLICE DEPARTMENTTX","TX0700300",0
"NEW SUMMERFIELD POLICE DEPARTMENT","TX","NEW SUMMERFIELD POLICE DEPARTMENTTX","TX0370200",0
"LAKEPORT POLICE DEPARTMENT","TX","LAKEPORT POLICE DEPARTMENTTX","TX0921500",0
"BALMORHEA POLICE DEPARTMENT","TX","BALMORHEA POLICE DEPARTMENTTX","TX1950100",0
"RUNGE POLICE DEPARTMENT","TX","RUNGE POLICE DEPARTMENTTX","TX1280300",0
"LOS YBANEZ POLICE DEPARTMENT","TX","LOS YBANEZ POLICE DEPARTMENTTX","TX0580600",0
"IMPACT POLICE DEPARTMENT","TX","IMPACT POLICE DEPARTMENTTX","TX2210200",0
"EASTON POLICE DEPARTMENT","TX","EASTON POLICE DEPARTMENTTX","TX0921600",0
"DPS COMMUNICATIONS EL PASO","TX","DPS COMMUNICATIONS EL PASOTX","TXDPS1100",0
"ODEM POLICE DEPARTMENT","TX","ODEM POLICE DEPARTMENTTX","TX2050700",0
"HEBBRONVILLE POLICE DEPARTMENT","TX","HEBBRONVILLE POLICE DEPARTMENTTX","TX1240100",0
"FABENS POLICE DEPARTMENT","TX","FABENS POLICE DEPARTMENTTX","TX0710300",0
"VINTON POLICE DEPARTMENT","TX","VINTON POLICE DEPARTMENTTX","TX0712300",0
"ESCOBARES POLICE DEPARTMENT","TX","ESCOBARES POLICE DEPARTMENTTX","TX2141300",0
"EL CENIZO POLICE DEPARTMENT","TX","EL CENIZO POLICE DEPARTMENTTX","TX2401300",0
"RAMONA POLICE DEPARTMENT HIDALGO","TX","RAMONA POLICE DEPARTMENT HIDALGOTX","TX1081200",0
"LOMAX POLICE DEPARTMENT LA PORTE","TX","LOMAX POLICE DEPARTMENT LA PORTETX","TX1014300",0
"BUCKINGHAM POLICE DEPARTMENT RICHARDSON","TX","BUCKINGHAM POLICE DEPARTMENT RICHARDSONTX","TX0570300",0
"PLEASANT GROVE POLICE DEPARTMENT DALLAS","TX","PLEASANT GROVE POLICE DEPARTMENT DALLASTX","TX0571900",0
"HANDLEY POLICE DEPARTMENT FORT WORTH","TX","HANDLEY POLICE DEPARTMENT FORT WORTHTX","TX2201500",0
"RENNER POLICE DEPARTMENT","TX","RENNER POLICE DEPARTMENTTX","TX0431100",0
"CHATEAU WOODS VILLAGE POLICE DEPARTMENT CONROE","TX","CHATEAU WOODS VILLAGE POLICE DEPARTMENT CONROETX","TX1700900",0
"SAN PEDRO POLICE DEPARTMENT","TX","SAN PEDRO POLICE DEPARTMENTTX","TX1780400",0
"LAKE BARBARA POLICE DEPARTMENT","TX","LAKE BARBARA POLICE DEPARTMENTTX","TX0200700",0
"VELASCO POLICE DEPARTMENT","TX","VELASCO POLICE DEPARTMENTTX","TX0201300",0
"GRIFFING PARK POLICE DEPARTMENT JEFFERSON","TX","GRIFFING PARK POLICE DEPARTMENT JEFFERSONTX","TX1230200",0
"SONOMA POLICE DEPARTMENT ENNIS","TX","SONOMA POLICE DEPARTMENT ENNISTX","TX0700900",0
"GREGGTON POLICE DEPARTMENT LONGVIEW","TX","GREGGTON POLICE DEPARTMENT LONGVIEWTX","TX0920300",0
"KELTYS POLICE DEPARTMENT","TX","KELTYS POLICE DEPARTMENTTX","TX0030300",0
"LEGGETT POLICE DEPARTMENT","TX","LEGGETT POLICE DEPARTMENTTX","TX1870100",0
"BUNA VISTA POLICE DEPARTMENT PHILLIPS","TX","BUNA VISTA POLICE DEPARTMENT PHILLIPSTX","TX1170200",0
"PHILLIPS POLICE DEPARTMENT","TX","PHILLIPS POLICE DEPARTMENTTX","TX1170400",0
"SCOFIELD POLICE DEPARTMENT","UT","SCOFIELD POLICE DEPARTMENTUT","UT0040500",0
"TABIONA POLICE DEPARTMENT","UT","TABIONA POLICE DEPARTMENTUT","UT0070600",0
"ANTIMONY POLICE DEPARTMENT","UT","ANTIMONY POLICE DEPARTMENTUT","UT0090100",0
"WOODRUFF POLICE DEPARTMENT","UT","WOODRUFF POLICE DEPARTMENTUT","UT0170400",0
"JUNCTION POLICE DEPARTMENT","UT","JUNCTION POLICE DEPARTMENTUT","UT0160300",0
"KINGSTON POLICE DEPARTMENT","UT","KINGSTON POLICE DEPARTMENTUT","UT0160400",0
"MANILA POLICE DEPARTMENT","UT","MANILA POLICE DEPARTMENTUT","UT0050100",0
"MARYSVALE POLICE DEPARTMENT","UT","MARYSVALE POLICE DEPARTMENTUT","UT0160200",0
"LAKETOWN POLICE DEPARTMENT","UT","LAKETOWN POLICE DEPARTMENTUT","UT0170300",0
"BOULDER POLICE DEPARTMENT","UT","BOULDER POLICE DEPARTMENTUT","UT0090500",0
"CLEVELAND POLICE DEPARTMENT","UT","CLEVELAND POLICE DEPARTMENTUT","UT0080200",0
"BEAR RIVER CITY POLICE DEPARTMENT","UT","BEAR RIVER CITY POLICE DEPARTMENTUT","UT0021500",0
"PARADISE POLICE DEPARTMENT","UT","PARADISE POLICE DEPARTMENTUT","UT0031100",0
"CEDAR FORT POLICE DEPARTMENT","UT","CEDAR FORT POLICE DEPARTMENTUT","UT0251500",0
"SCIPIO POLICE DEPARTMENT","UT","SCIPIO POLICE DEPARTMENTUT","UT0140800",0
"MAYFIELD POLICE DEPARTMENT","UT","MAYFIELD POLICE DEPARTMENTUT","UT0200700",0
"MONA POLICE DEPARTMENT","UT","MONA POLICE DEPARTMENTUT","UT0120400",0
"ORDERVILLE POLICE DEPARTMENT","UT","ORDERVILLE POLICE DEPARTMENTUT","UT0130400",0
"GLENWOOD POLICE DEPARTMENT","UT","GLENWOOD POLICE DEPARTMENTUT","UT0210500",0
"TROPIC POLICE DEPARTMENT","UT","TROPIC POLICE DEPARTMENTUT","UT0090400",0
"ANNABELLA POLICE DEPARTMENT","UT","ANNABELLA POLICE DEPARTMENTUT","UT0210200",0
"ORANGEVILLE POLICE DEPARTMENT","UT","ORANGEVILLE POLICE DEPARTMENTUT","UT0080600",0
"SIGURD POLICE DEPARTMENT","UT","SIGURD POLICE DEPARTMENTUT","UT0210800",0
"CHARLESTON POLICE DEPARTMENT","UT","CHARLESTON POLICE DEPARTMENTUT","UT0260400",0
"NEWTON POLICE DEPARTMENT","UT","NEWTON POLICE DEPARTMENTUT","UT0030800",0
"ENTERPRISE POLICE DEPARTMENT","UT","ENTERPRISE POLICE DEPARTMENTUT","UT0270200",0
"MENDON POLICE DEPARTMENT","UT","MENDON POLICE DEPARTMENTUT","UT0030600",0
"FERRON POLICE DEPARTMENT","UT","FERRON POLICE DEPARTMENTUT","UT0080800",0
