"Police Department","State","ORI","Data Entered?","Population","Use of Force Source Link","2013 Firearm Discharged at Person","2014 Firearm Discharged at Person","2015 Firearm Discharged at Person","2016 Firearm Discharged at Person","2017 Firearm Discharged at Person","2018 Firearm Discharged at Person","2019 Firearm Discharged at Person","2020 Firearm Discharged at Person","2021 Firearm Discharged at Person","2022 Firearm Discharged at Person","2013 Taser (also sometimes called Electronic Control Weapons or ECW)","2014 Taser (also sometimes called Electronic Control Weapons or ECW)","2015 Taser (also sometimes called Electronic Control Weapons or ECW)","2016 Taser (also sometimes called Electronic Control Weapons or ECW)","2017 Taser (also sometimes called Electronic Control Weapons or ECW)","2018 Taser (also sometimes called Electronic Control Weapons or ECW)","2019 Taser (also sometimes called Electronic Control Weapons or ECW)","2020 Taser (also sometimes called Electronic Control Weapons or ECW)","2021 Taser (also sometimes called Electronic Control Weapons or ECW)","2022 Taser (also sometimes called Electronic Control Weapons or ECW)","Are taser uses separated into two or more categories (for example, taser probes vs taser drive stuns)? (Put Yes or No)","2013 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2014 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2015 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2016 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2017 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2018 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2019 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2020 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2021 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2022 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","Categories counted in impact weapon tally","2013 Carotid Restraints (also sometimes called Carotid Control Holds)","2014 Carotid Restraints (also sometimes called Carotid Control Holds)","2015 Carotid Restraints (also sometimes called Carotid Control Holds)","2016 Carotid Restraints (also sometimes called Carotid Control Holds)","2017 Carotid Restraints (also sometimes called Carotid Control Holds)","2018 Carotid Restraints (also sometimes called Carotid Control Holds)","2019 Carotid Restraints (also sometimes called Carotid Control Holds)","2020 Carotid Restraints (also sometimes called Carotid Control Holds)","2021 Carotid Restraints (also sometimes called Carotid Control Holds)","2022 Carotid Restraints (also sometimes called Carotid Control Holds)","2013 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2014 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2015 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2016 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2017 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2018 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2019 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2020 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2021 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2022 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2013 K-9 deployments","2014 K-9 deployments","2015 K-9 deployments","2016 K-9 deployments","2017 K-9 deployments","2018 K-9 deployments","2019 K-9 deployments","2020 K-9 deployments","2021 K-9 deployments","2022 K-9 deployments","Total Use of Force Incidents 2013","Total Use of Force Incidents 2014","Total Use of Force Incidents 2015","Total Use of Force Incidents 2016","Total Use of Force Incidents 2017","Total Use of Force Incidents 2018","Total Use of Force Incidents 2019","Total Use of Force Incidents 2020","Total Use of Force Incidents 2021","Total Use of Force Incidents 2022","2013 Total ""Less Lethal Force""","2014 Total ""Less Lethal Force""","2015 Total ""Less Lethal Force""","2016 Total ""Less Lethal Force""","2017 Total ""Less Lethal Force""","2018 Total ""Less Lethal Force""","2019 Total ""Less Lethal Force""","Total_Less_lethal_force_2020","2021 Total ""Less Lethal Force""","2022 Total ""Less Lethal Force""","Individualized w/ officer names","Notes/Comments","Slack handle of person inputting the data","FINAL CHECK","Data checked?","Responses to factchecking","Response to response","Response to response to response","2021 Response","2021 Response to Response","Fact-Checked by","Use of Force Documentation (2013 LEMAS)","Officer or Incident Based Reporting (2013 LEMAS)","Force Types Required to be Reported (2013 LEMAS)","Total Use of Force Incidents 2012 (LEMAS)","Total Use of Force Reports 2012 (LEMAS)","Reportable Force Types (2016 LEMAS)","Reportable Force Types (Updated)","Use of Force Documentation Used (Updated)","Officer or Incident Based Reporting Used (DRAFT Revision)","Review Incident/Officer Based Reporting"
"Washingtonville Village Police Department","NY","NY0352000","Yes",5755,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Orleans Police Department","MA","MA0011000","Yes",5745,"https://www.muckrock.com/foi/orleans-616/police-data-collection-request-ma-depts-orleans-town-clerk-115535/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,"","","","","","","","","",NA,"maryhammond","","","",NA,NA,"","","","",""
"Berlin Township Police","NJ","NJ0040600","Yes",5721,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Oceanport Police","NJ","NJ0133800","Yes",5708,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Albion Village Police Department","NY","NY0362000","Yes",5698,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"No",NA,NA,NA,NA,NA,NA,NA,NA,2,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Blairstown Township Police","NJ","NJ0210400","Yes",5665,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Mendham Boro Police","NJ","NJ0141900","Yes",5632,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","Use of force form","Incident","Display Firearm/Discharge Firearm/Not Applicable (Baton)/Not Applicable (Impact Weapon)/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Not Applicable (Display Taser)/Not Applicable (Discharge Taser)/Not Applicable (Neck Restraint)/Not Applicable (Takedown)/Not Applicable (Open Hand)/Not Applicable (Closed Hand)/Not Applicable (Leg Restraints)",0,NA,"Open-Hand;Takedowns;OC Spray;Baton;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"St. Anthony Village Police Department","MN","MN0272000","Yes",5625,"https://www.savmn.com/462/Use-of-Force-Reports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,43,38,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Individualized","","ashtaan;samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","","Incident",""
"Medina Village Police Department","NY","NY0362200","Yes",5613,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Columbiana Police Department","OH","OH0150100","Yes",5594,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,3,"No",NA,NA,NA,NA,NA,0,0,0,1,1,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,NA,1,NA,NA,NA,NA,NA,2,5,3,19,18,NA,NA,NA,NA,NA,0,2,0,2,5,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Baton;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Rochelle Park Police","NJ","NJ0025400","Yes",5566,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Malone Village Police Department","NY","NY0162400","Yes",5566,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Pelham Manor Village Police Department","NY","NY0593700","Yes",5535,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Belmar Police","NJ","NJ0130700","Yes",5518,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,11,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Germantown Police Department","OH","OH0570300","Yes",5517,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,0,0,0,1,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Somerdale Police","NJ","NJ0043100","Yes",5511,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Bazetta Township Police Department","OH","OH0781500","Yes",5494,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,1,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,NA,NA,NA,NA,NA,0,0,2,2,1,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Northwood Police Department","OH","OH0871800","Yes",5458,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"No",NA,NA,NA,NA,NA,0,0,0,2,NA,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,5,NA,NA,NA,NA,NA,0,0,0,3,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Not Applicable (Bean Bag)/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/",5,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Canal Fulton Police Department","OH","OH0760300","Yes",5406,"https://dpsoibrspext.azurewebsites.net/UOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baton, Bean Bag, Other Impact Projectile, Flashlight or Other Blunt Instrument Used, Other Police Weapon (non-firearm)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,6,3,NA,NA,NA,NA,NA,1,0,0,1,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","","",NA,NA,"","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Independence Township Police","NJ","NJ0211200","Yes",5386,"https://www.njoag.gov/force/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used less-lethal device on, compliance hold with impact weapon, struck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INDIVIDUALIZED via state database with Officer Names","","samswey","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;OC Spray;Baton;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Moab Police Department","UT","UT0100100","Yes",5362,"https://www.moabsunnews.com/pdf_aaca08f8-6c99-11eb-ac0b-07bef04cedcf.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","samswey","","","","","","",NA,"","","","",NA,NA,"","","","",""
"Goshen Village Police Department","NY","NY0352300","Yes",5361,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","Documented in arrest report","Incident/Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Not Applicable (Display Taser)/Not Applicable (Discharge Taser)/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",10,5,"","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
